                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5468,                  4.268,                 1.3334,                0.00955,                0.32511,                0.04854,                0.02916,                 1.2086,                 4.1021,                 1.0485,             0.00012852,             0.00012852,             0.00012852
                      2,                  1.375,                 2.9155,                  1.137,                0.82815,                0.05321,                0.18945,                 0.1255,                 1.2885,                 3.4514,                 1.0678,               0.000262,               0.000262,               0.000262
                      3,                 1.3527,                 2.2415,                 1.1265,                0.76469,                0.17826,                0.27547,                 0.1672,                  1.316,                 2.9173,                 1.1304,             0.00039324,             0.00039324,             0.00039324
                      4,                 1.2784,                 1.8442,                 1.0727,                 0.5286,                0.19207,                0.29552,                0.18154,                 1.2948,                 2.6401,                 1.1235,             0.00052225,             0.00052225,             0.00052225
                      5,                  1.305,                 1.7669,                 1.0866,                0.54791,                0.22957,                0.28911,                0.17346,                  1.308,                 2.5375,                 1.1212,             0.00064901,             0.00064901,             0.00064901
                      6,                 1.2531,                 1.5904,                  1.071,                0.54486,                0.35246,                 0.3035,                0.18519,                 1.2788,                 2.3527,                 1.1066,             0.00068455,             0.00068455,             0.00068455
                      7,                 1.2573,                 1.5844,                 1.0946,                0.50354,                0.41385,                0.33446,                0.20837,                 1.2995,                 2.0066,                 1.1262,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.2502,                 1.5355,                 1.0646,                0.56883,                0.45273,                0.39482,                0.24422,                 1.2704,                 1.7752,                 1.1129,             0.00067277,             0.00067277,             0.00067277
                      9,                 1.1919,                 1.4863,                  1.055,                0.54584,                 0.4428,                0.36255,                0.22343,                 1.2573,                 1.8759,                 1.1181,             0.00066688,             0.00066688,             0.00066688
                     10,                 1.2215,                 1.4825,                 1.0694,                0.56513,                 0.4195,                0.39547,                 0.2382,                 1.2914,                 1.7404,                 1.1239,             0.00066099,             0.00066099,             0.00066099
                     11,                 1.1768,                 1.3619,                  1.053,                 0.6356,                0.37628,                0.40533,                0.23807,                 1.2762,                 1.7599,                 1.1206,             0.00065509,             0.00065509,             0.00065509
                     12,                 1.1589,                 1.3387,                 1.0406,                0.58492,                0.36717,                0.36856,                0.22924,                 1.2616,                  1.704,                 1.0975,              0.0006492,              0.0006492,              0.0006492
                     13,                  1.143,                 1.2713,                 1.0362,                0.57546,                0.42778,                 0.3871,                0.24026,                 1.2692,                 1.5662,                 1.1048,             0.00064331,             0.00064331,             0.00064331
                     14,                  1.137,                 1.2818,                 1.0324,                0.58865,                0.36049,                0.38412,                0.23214,                 1.2424,                  1.688,                  1.095,             0.00063742,             0.00063742,             0.00063742
                     15,                 1.1546,                 1.2392,                 1.0275,                0.56973,                0.42058,                0.38642,                0.23352,                 1.2632,                 1.6478,                 1.1062,             0.00063153,             0.00063153,             0.00063153
                     16,                 1.0971,                 1.2345,                 1.0131,                0.57779,                0.38827,                0.38592,                0.23494,                 1.2117,                 1.6161,                 1.0914,             0.00062564,             0.00062564,             0.00062564
                     17,                 1.1137,                 1.1777,                0.99648,                 0.6444,                0.42468,                0.41222,                0.25469,                 1.2408,                 1.5169,                 1.0844,             0.00061975,             0.00061975,             0.00061975
                     18,                 1.1245,                 1.1792,                 1.0098,                0.63784,                0.40355,                0.40792,                0.25059,                 1.2498,                 1.6252,                 1.0938,             0.00061386,             0.00061386,             0.00061386
                     19,                 1.0595,                 1.1606,                 1.0078,                 0.5949,                 0.4444,                0.43214,                0.26788,                 1.2118,                 1.3803,                 1.0744,             0.00060797,             0.00060797,             0.00060797
                     20,                 1.1354,                   1.17,                 1.0152,                0.54968,                 0.4121,                0.39809,                0.24223,                  1.237,                 1.5044,                 1.0871,             0.00060208,             0.00060208,             0.00060208
                     21,                 1.0883,                 1.1179,                  0.989,                0.68033,                0.41335,                0.43163,                0.26109,                 1.2124,                 1.3701,                 1.0876,             0.00059619,             0.00059619,             0.00059619
                     22,                  1.058,                  1.115,                 1.0002,                0.61578,                0.45585,                0.43163,                 0.2637,                 1.2179,                 1.3364,                 1.0776,              0.0005903,              0.0005903,              0.0005903
                     23,                 1.0941,                 1.0651,                0.99985,                0.66208,                0.44591,                0.45535,                0.27929,                 1.2562,                 1.3988,                 1.0882,             0.00058441,             0.00058441,             0.00058441
                     24,                  1.148,                 1.0972,                0.99824,                0.71766,                0.41229,                0.45466,                 0.2755,                 1.2845,                 1.4115,                 1.0904,             0.00057852,             0.00057852,             0.00057852
                     25,                 1.0441,                 1.0556,                0.99379,                0.67552,                0.40275,                0.43127,                0.26409,                 1.2523,                 1.3717,                 1.0873,             0.00057263,             0.00057263,             0.00057263
                     26,                 1.0567,                 1.0448,                0.99127,                0.62027,                0.43805,                 0.4312,                0.26308,                 1.2028,                 1.3466,                 1.0917,             0.00056674,             0.00056674,             0.00056674
                     27,                 1.0764,                 1.0284,                0.98783,                0.56089,                0.41796,                0.39977,                0.24345,                 1.2398,                 1.4928,                 1.1011,             0.00056085,             0.00056085,             0.00056085
                     28,                 1.0783,                 1.0346,                0.97809,                0.64363,                0.42044,                0.42356,                0.25469,                 1.2571,                 1.3403,                 1.1196,             0.00055496,             0.00055496,             0.00055496
                     29,                 1.0327,                0.98517,                0.98163,                0.61814,                0.45326,                0.44871,                0.28067,                 1.2102,                 1.3766,                 1.0846,             0.00054907,             0.00054907,             0.00054907
                     30,                 1.0102,                0.94083,                0.97899,                0.61719,                0.50889,                0.45333,                0.28553,                 1.2109,                 1.4072,                 1.0847,             0.00054318,             0.00054318,             0.00054318
                     31,                 1.0266,                0.93436,                0.97369,                0.59584,                0.47324,                 0.4389,                0.27732,                 1.2235,                 1.2753,                 1.0918,             0.00053728,             0.00053728,             0.00053728
                     32,                 1.0293,                0.96285,                0.97567,                0.67069,                0.43673,                0.45431,                0.28514,                  1.205,                 1.2469,                 1.0907,             0.00053139,             0.00053139,             0.00053139
                     33,                 1.0581,                0.97839,                0.98105,                 0.6457,                0.45937,                0.44538,                0.27969,                 1.2186,                 1.2485,                  1.095,              0.0005255,              0.0005255,              0.0005255
                     34,                 1.0208,                0.94175,                 0.9768,                0.66971,                0.42386,                0.44145,                0.28121,                 1.1939,                 1.2572,                 1.0764,             0.00051961,             0.00051961,             0.00051961
                     35,                 1.0019,                0.89429,                0.95161,                0.57857,                0.41075,                0.41193,                0.25629,                 1.2188,                 1.4015,                 1.0862,             0.00051372,             0.00051372,             0.00051372
                     36,                0.99978,                0.89797,                0.96667,                0.72686,                0.40244,                0.45334,                0.28603,                 1.1942,                 1.2736,                 1.0709,             0.00050783,             0.00050783,             0.00050783
                     37,                 1.0267,                0.89397,                 0.9637,                0.69171,                0.44361,                0.46087,                0.29626,                 1.1925,                 1.2725,                 1.0656,             0.00050194,             0.00050194,             0.00050194
                     38,                0.99463,                 0.8732,                0.95381,                0.69472,                0.45236,                0.47121,                0.29173,                 1.2589,                 1.2242,                  1.099,             0.00049605,             0.00049605,             0.00049605
                     39,                0.96565,                0.85794,                0.95351,                0.72759,                0.41785,                0.45591,                0.28464,                 1.2069,                 1.2108,                 1.0776,             0.00049016,             0.00049016,             0.00049016
                     40,                0.99324,                0.88225,                0.96405,                0.61694,                0.44454,                0.42635,                 0.2645,                  1.209,                  1.309,                 1.0775,             0.00048427,             0.00048427,             0.00048427
                     41,                0.98003,                0.86569,                0.97538,                0.65911,                0.44785,                0.42775,                0.26821,                 1.1733,                 1.2436,                 1.0694,             0.00047838,             0.00047838,             0.00047838
                     42,                 1.0141,                0.87971,                0.95668,                0.63125,                 0.3929,                0.40616,                0.24897,                  1.177,                  1.319,                 1.0801,             0.00047249,             0.00047249,             0.00047249
                     43,                0.96306,                0.82231,                0.94329,                0.64556,                0.46845,                0.45197,                0.27838,                 1.1957,                 1.2465,                 1.0938,              0.0004666,              0.0004666,              0.0004666
                     44,                0.94135,                0.78702,                0.94097,                0.66691,                0.45185,                0.45373,                0.28507,                 1.2077,                 1.1878,                 1.0982,             0.00046071,             0.00046071,             0.00046071
                     45,                  0.971,                0.84478,                0.94826,                 0.6364,                0.46791,                0.45667,                0.29023,                 1.1974,                 1.2269,                 1.0815,             0.00045482,             0.00045482,             0.00045482
                     46,                0.97104,                0.83314,                0.96035,                0.65023,                0.48585,                0.47002,                  0.292,                 1.2117,                 1.2142,                 1.0968,             0.00044893,             0.00044893,             0.00044893
                     47,                0.97233,                0.83839,                0.95024,                0.67319,                0.47703,                0.48493,                0.29645,                 1.2253,                 1.2001,                  1.095,             0.00044304,             0.00044304,             0.00044304
                     48,                0.98063,                0.83021,                0.96097,                0.70597,                 0.4346,                0.46711,                0.27749,                 1.2294,                 1.2499,                 1.0945,             0.00043715,             0.00043715,             0.00043715
                     49,                0.98733,                0.80178,                0.94714,                0.67621,                0.41984,                0.45464,                0.27435,                 1.2514,                 1.2276,                 1.1064,             0.00043126,             0.00043126,             0.00043126
                     50,                0.93254,                0.80124,                0.95042,                0.71364,                0.45245,                0.48629,                0.30326,                 1.1917,                 1.1451,                 1.0862,             0.00042537,             0.00042537,             0.00042537
                     51,                0.96148,                0.78743,                0.95315,                0.71935,                0.45268,                0.47618,                0.29738,                 1.1724,                 1.2326,                 1.0661,             0.00041947,             0.00041947,             0.00041947
                     52,                0.90991,                0.76524,                0.93011,                0.72333,                0.44056,                0.47904,                 0.2984,                 1.1817,                 1.2194,                 1.0618,             0.00041358,             0.00041358,             0.00041358
                     53,                0.91607,                0.77578,                0.93674,                0.65676,                0.42216,                0.44977,                0.28949,                 1.2037,                 1.3315,                 1.0687,             0.00040769,             0.00040769,             0.00040769
                     54,                0.92523,                 0.7619,                0.93265,                0.62438,                0.45621,                 0.4635,                0.29284,                 1.1867,                 1.2192,                 1.0681,              0.0004018,              0.0004018,              0.0004018
                     55,                0.92446,                0.76929,                0.93892,                0.69833,                0.48645,                0.49136,                0.30837,                 1.1577,                 1.1389,                 1.0674,             0.00039591,             0.00039591,             0.00039591
                     56,                 0.9423,                0.76436,                 0.9376,                0.48448,                0.49496,                0.46441,                0.29267,                 1.2043,                  1.202,                 1.0908,             0.00039002,             0.00039002,             0.00039002
                     57,                0.91311,                0.74148,                0.93016,                0.55724,                0.45905,                0.48821,                0.30321,                 1.1957,                 1.1427,                 1.0889,             0.00038413,             0.00038413,             0.00038413
                     58,                0.90654,                0.75203,                 0.9377,                0.52546,                 0.4712,                0.47791,                0.28731,                  1.212,                 1.2097,                 1.0808,             0.00037824,             0.00037824,             0.00037824
                     59,                0.96712,                0.75595,                0.93301,                0.67648,                0.46856,                 0.4947,                0.30819,                 1.1773,                 1.1689,                 1.0725,             0.00037235,             0.00037235,             0.00037235
                     60,                0.90742,                0.71074,                0.92016,                0.65802,                 0.5042,                  0.486,                0.30889,                 1.1829,                 1.1784,                 1.0753,             0.00036646,             0.00036646,             0.00036646
                     61,                 0.9001,                0.73715,                0.92618,                0.70858,                0.42935,                0.47462,                0.29837,                 1.1811,                 1.2027,                 1.0664,             0.00036057,             0.00036057,             0.00036057
                     62,                0.89435,                 0.7122,                 0.9199,                0.67717,                0.45555,                0.47282,                0.30154,                 1.2025,                 1.1836,                 1.0822,             0.00035468,             0.00035468,             0.00035468
                     63,                0.91329,                0.71795,                0.92285,                0.72521,                0.43803,                0.45894,                0.29643,                 1.1954,                 1.1892,                 1.0827,             0.00034879,             0.00034879,             0.00034879
                     64,                0.89178,                0.71321,                  0.917,                0.71968,                0.42316,                0.45744,                0.29152,                 1.1784,                 1.1556,                 1.0739,              0.0003429,              0.0003429,              0.0003429
                     65,                0.89917,                0.71421,                  0.917,                0.48316,                0.48499,                0.48153,                 0.3052,                 1.1729,                 1.1529,                 1.0807,             0.00033701,             0.00033701,             0.00033701
                     66,                0.89804,                0.70169,                0.92379,                0.69326,                0.49435,                0.49803,                 0.3116,                 1.1804,                 1.1403,                 1.0842,             0.00033112,             0.00033112,             0.00033112
                     67,                0.88942,                 0.6995,                 0.9092,                0.66252,                0.49306,                0.49896,                0.31261,                 1.1939,                 1.1596,                  1.083,             0.00032523,             0.00032523,             0.00032523
                     68,                0.89735,                0.70763,                0.91567,                0.67175,                 0.4523,                0.47982,                0.30731,                 1.2089,                 1.2537,                 1.0859,             0.00031934,             0.00031934,             0.00031934
                     69,                0.87424,                0.68933,                0.91731,                0.70784,                0.43074,                0.47005,                0.30819,                 1.1903,                 1.2027,                 1.0717,             0.00031345,             0.00031345,             0.00031345
                     70,                0.89704,                0.70951,                0.92013,                0.69067,                0.46615,                0.47326,                0.31211,                 1.1948,                 1.2086,                 1.0787,             0.00030756,             0.00030756,             0.00030756
                     71,                0.87958,                0.69592,                0.92043,                0.70214,                0.46229,                0.49271,                0.31897,                 1.2034,                 1.1612,                  1.091,             0.00030167,             0.00030167,             0.00030167
                     72,                0.87132,                0.68082,                0.90588,                0.76739,                0.40259,                 0.4762,                 0.3042,                 1.2012,                 1.1805,                 1.0801,             0.00029577,             0.00029577,             0.00029577
                     73,                0.86802,                0.66482,                0.91526,                0.64463,                0.43791,                0.46129,                0.29638,                 1.1997,                 1.1999,                 1.0774,             0.00028988,             0.00028988,             0.00028988
                     74,                0.85391,                 0.6639,                0.91419,                0.73792,                0.38338,                0.45232,                0.28886,                 1.1898,                   1.19,                 1.0686,             0.00028399,             0.00028399,             0.00028399
                     75,                0.85957,                0.65642,                0.91413,                0.49071,                0.46682,                0.46913,                 0.3032,                 1.1714,                 1.1413,                 1.0652,              0.0002781,              0.0002781,              0.0002781
                     76,                0.85706,                0.65186,                0.91794,                0.66965,                0.46663,                0.47038,                0.30066,                 1.2004,                 1.1814,                 1.0721,             0.00027221,             0.00027221,             0.00027221
                     77,                0.86363,                0.65353,                0.91814,                0.66228,                 0.4696,                0.46897,                0.29907,                 1.1844,                 1.1549,                 1.0769,             0.00026632,             0.00026632,             0.00026632
                     78,                0.82154,                 0.6294,                0.90491,                0.72113,                0.43474,                0.46454,                0.29611,                 1.1988,                 1.1803,                 1.0849,             0.00026043,             0.00026043,             0.00026043
                     79,                0.83232,                0.65926,                0.90593,                0.67881,                0.44035,                0.47101,                0.29887,                 1.1812,                 1.1759,                 1.0828,             0.00025454,             0.00025454,             0.00025454
                     80,                0.82777,                0.64282,                0.90432,                 0.5069,                0.46791,                0.47591,                0.30419,                 1.1753,                 1.1993,                 1.0749,             0.00024865,             0.00024865,             0.00024865
                     81,                0.80691,                0.62159,                0.89965,                0.68184,                0.47483,                0.49635,                0.31847,                 1.1674,                 1.1393,                 1.0759,             0.00024276,             0.00024276,             0.00024276
                     82,                0.85735,                0.64153,                0.89971,                0.51748,                0.46441,                0.48131,                0.30862,                 1.1704,                 1.1479,                 1.0742,             0.00023687,             0.00023687,             0.00023687
                     83,                0.81251,                0.64898,                0.91487,                0.46977,                0.48912,                0.47703,                 0.3028,                 1.1793,                 1.1369,                 1.0745,             0.00023098,             0.00023098,             0.00023098
                     84,                0.84281,                0.62016,                0.90606,                0.51286,                0.47539,                 0.4881,                0.30901,                  1.199,                 1.1646,                  1.086,             0.00022509,             0.00022509,             0.00022509
                     85,                 0.8445,                0.63763,                0.90503,                0.69019,                 0.4752,                0.49079,                0.31268,                 1.1935,                 1.1169,                 1.0791,              0.0002192,              0.0002192,              0.0002192
                     86,                 0.8556,                0.63961,                0.90862,                0.51965,                0.46278,                0.48232,                0.31027,                 1.1802,                 1.1406,                  1.072,             0.00021331,             0.00021331,             0.00021331
                     87,                0.86592,                0.65744,                0.91001,                0.67412,                0.46442,                0.47873,                0.31105,                 1.1709,                 1.2111,                 1.0679,             0.00020742,             0.00020742,             0.00020742
                     88,                0.81872,                0.61488,                0.90385,                0.68225,                0.44731,                0.48778,                 0.3204,                 1.1768,                  1.179,                 1.0814,             0.00020153,             0.00020153,             0.00020153
                     89,                0.84321,                0.62835,                0.90497,                0.46674,                0.48098,                0.48612,                0.31777,                 1.1663,                 1.1394,                 1.0748,             0.00019564,             0.00019564,             0.00019564
                     90,                0.83124,                0.60856,                0.89651,                0.48811,                0.46495,                0.47637,                0.30904,                 1.1644,                 1.1714,                 1.0816,             0.00018975,             0.00018975,             0.00018975
                     91,                0.79736,                0.60207,                0.89806,                0.51171,                0.43182,                0.47042,                0.30885,                 1.1702,                 1.1892,                 1.0773,             0.00018385,             0.00018385,             0.00018385
                     92,                0.79696,                0.61453,                0.90221,                0.47091,                 0.4566,                0.46333,                0.29849,                 1.1754,                 1.1543,                  1.089,             0.00017796,             0.00017796,             0.00017796
                     93,                0.82483,                0.61118,                0.89378,                0.46513,                0.48359,                0.46622,                0.29927,                 1.1832,                 1.1457,                 1.0844,             0.00017207,             0.00017207,             0.00017207
                     94,                0.77982,                0.60267,                0.88116,                0.46643,                0.47423,                0.47254,                0.30106,                 1.1918,                 1.1353,                 1.0877,             0.00016618,             0.00016618,             0.00016618
                     95,                0.78909,                0.58921,                0.89088,                0.66864,                0.50253,                0.48208,                0.30599,                 1.1978,                 1.1621,                 1.0938,             0.00016029,             0.00016029,             0.00016029
                     96,                0.80174,                 0.5848,                0.88815,                0.66587,                0.47807,                0.48334,                 0.3079,                  1.187,                 1.1738,                 1.0906,              0.0001544,              0.0001544,              0.0001544
                     97,                0.80843,                0.60233,                0.89064,                0.64511,                0.46828,                0.48024,                0.30869,                 1.1913,                 1.1747,                  1.092,             0.00014851,             0.00014851,             0.00014851
                     98,                0.79066,                 0.5856,                0.89904,                0.45442,                0.47154,                0.47711,                0.30774,                 1.1734,                 1.1683,                 1.0844,             0.00014262,             0.00014262,             0.00014262
                     99,                0.82744,                0.60397,                 0.8887,                0.48171,                 0.4694,                0.47659,                0.31222,                 1.1737,                 1.1554,                 1.0888,             0.00013673,             0.00013673,             0.00013673
                    100,                0.81019,                0.59472,                0.89047,                0.46391,                0.48064,                0.47553,                0.30899,                 1.1866,                 1.1615,                 1.0868,             0.00013084,             0.00013084,             0.00013084
                    101,                0.78388,                0.57657,                0.89471,                0.73077,                0.39234,                0.46512,                0.30474,                 1.1624,                 1.1786,                 1.0766,             0.00012495,             0.00012495,             0.00012495
                    102,                 0.8128,                0.60424,                0.90421,                0.77315,                0.37576,                0.46395,                0.30078,                 1.1904,                 1.1929,                 1.0826,             0.00011906,             0.00011906,             0.00011906
                    103,                0.77977,                0.57247,                0.88977,                0.67011,                0.42603,                0.46893,                0.30562,                 1.1813,                 1.1723,                 1.0887,             0.00011317,             0.00011317,             0.00011317
                    104,                0.75666,                0.57139,                0.88213,                0.68569,                0.41915,                 0.4654,                0.30015,                 1.1906,                 1.1601,                 1.1003,             0.00010728,             0.00010728,             0.00010728
                    105,                0.75141,                 0.5632,                0.88424,                0.43543,                0.48197,                0.46973,                0.30248,                 1.1893,                 1.1762,                 1.0976,             0.00010139,             0.00010139,             0.00010139
                    106,                0.79522,                0.58205,                0.88779,                0.43909,                0.50119,                0.46853,                0.30096,                  1.182,                 1.1729,                 1.0908,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    107,                0.75597,                0.54997,                0.88336,                0.51981,                0.43875,                0.46994,                0.30335,                 1.1883,                 1.1572,                 1.0907,             8.9607e-05,             8.9607e-05,             8.9607e-05
                    108,                0.76898,                0.57183,                0.88363,                0.50068,                0.45732,                0.46858,                0.30457,                 1.1942,                 1.1611,                 1.0938,             8.3716e-05,             8.3716e-05,             8.3716e-05
                    109,                0.76562,                0.56968,                0.88981,                0.46981,                0.48489,                0.46669,                0.30381,                 1.1796,                 1.1728,                 1.0882,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    110,                0.75413,                0.57377,                0.88203,                0.51555,                0.42294,                0.46484,                0.30332,                 1.1742,                 1.1878,                 1.0819,             7.1936e-05,             7.1936e-05,             7.1936e-05
                    111,                0.77721,                0.57599,                0.86869,                0.46201,                0.47677,                0.46632,                0.30325,                 1.1877,                 1.2051,                 1.0819,             6.6045e-05,             6.6045e-05,             6.6045e-05
                    112,                0.78151,                0.64079,                0.88095,                0.70733,                 0.4164,                0.46135,                0.30001,                 1.1911,                 1.2304,                 1.0822,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    113,                0.73528,                 0.5376,                0.86558,                0.70271,                0.41401,                0.46172,                0.29934,                 1.1911,                  1.195,                 1.0886,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    114,                0.72953,                0.51357,                0.85706,                0.65455,                0.43637,                0.45756,                0.29688,                 1.1863,                   1.19,                 1.0838,             4.8374e-05,             4.8374e-05,             4.8374e-05
                    115,                0.72284,                0.52433,                0.85887,                0.66441,                0.43508,                0.45614,                0.29451,                 1.1904,                 1.2044,                 1.0887,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    116,                0.69729,                0.51218,                0.84444,                 0.6351,                0.44068,                0.45173,                0.29426,                 1.1897,                 1.2027,                  1.088,             3.6592e-05,             3.6592e-05,             3.6592e-05
                    117,                0.70762,                0.50564,                0.85053,                0.47221,                0.44342,                0.45354,                0.29622,                  1.184,                 1.1992,                 1.0844,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    118,                 0.7422,                 0.5468,                 0.8657,                0.66353,                0.42608,                0.45444,                0.29607,                 1.1782,                 1.1968,                 1.0825,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    119,                0.71461,                0.51169,                0.85357,                0.68692,                0.40711,                0.45509,                0.29921,                 1.1777,                 1.2002,                 1.0825,             1.8921e-05,             1.8921e-05,             1.8921e-05
                    120,                0.68732,                0.49782,                0.84906,                0.72021,                 0.3982,                0.45603,                0.29901,                 1.1729,                 1.2063,                 1.0788,              1.303e-05,              1.303e-05,              1.303e-05
